sample_idx,unix_t,iso_approx_note,luxi_gpu_power_watts,luxi_gpu_power_samples,luxi_gpu_count,luxi_energy_joules_total,completed_ok_if_present
94,1783735513.6970444,offset_s=940.2,64.13,1795.0,1.0,8657717.27999437,
95,1783735523.6983736,offset_s=950.2,64.13,1813.0,1.0,8749065.919993456,
96,1783735533.7001371,offset_s=960.3,64.13,1832.0,1.0,8840480.239992544,
97,1783735543.7027967,offset_s=970.3,64.12,1851.0,1.0,8932417.999991626,
98,1783735553.7078195,offset_s=980.3,64.12,1869.0,1.0,9024322.799990706,
99,1783735563.7096078,offset_s=990.3,64.13,1888.0,1.0,9115775.519989794,
100,1783735573.7121992,offset_s=1000.3,63.94,1907.0,1.0,9207149.999988882,
101,1783735583.7135394,offset_s=1010.3,64.02,1925.0,1.0,9298196.159987973,
102,1783735593.7157857,offset_s=1020.3,64.14,1944.0,1.0,9389635.839987058,
103,1783735603.7188778,offset_s=1030.3,64.03,1962.0,1.0,9481301.199986141,
104,1783735613.721249,offset_s=1040.3,64.14,1981.0,1.0,9573064.719985228,
105,1783735623.723096,offset_s=1050.3,64.02,2000.0,1.0,9664380.879984314,
106,1783735633.725872,offset_s=1060.3,64.13,2018.0,1.0,9754909.75998341,
107,1783735643.7347004,offset_s=1070.3,64.13,2037.0,1.0,9846705.75998249,
108,1783735653.7367048,offset_s=1080.3,64.13,2056.0,1.0,9938228.399981579,
109,1783735663.7417812,offset_s=1090.3,64.14,2074.0,1.0,10029862.719980663,
110,1783735673.7454472,offset_s=1100.3,64.07,2093.0,1.0,10121580.239979746,
111,1783735683.7471967,offset_s=1110.3,64.14,2112.0,1.0,10213388.31997883,
112,1783735693.7510157,offset_s=1120.3,64.13,2130.0,1.0,10305325.839977913,
113,1783735703.7524889,offset_s=1130.3,64.12,2149.0,1.0,10397444.47997699,
114,1783735713.7544267,offset_s=1140.3,64.14,2168.0,1.0,10489485.599976072,
115,1783735723.7570305,offset_s=1150.3,64.13,2186.0,1.0,10580983.359975157,
116,1783735733.7602186,offset_s=1160.3,64.13,2205.0,1.0,10672901.199974239,
117,1783735743.7613142,offset_s=1170.3,64.13,2224.0,1.0,10764625.599973323,
118,1783735753.7635226,offset_s=1180.3,64.13,2242.0,1.0,10856368.959972406,
119,1783735763.7649832,offset_s=1190.3,64.13,2261.0,1.0,10948519.359971486,
120,1783735773.7676098,offset_s=1200.3,64.14,2280.0,1.0,11039836.719970575,
121,1783735783.7740686,offset_s=1210.3,64.13,2298.0,1.0,11131703.119969657,
122,1783735793.7766054,offset_s=1220.3,64.13,2317.0,1.0,11223375.839968741,
123,1783735803.7785506,offset_s=1230.3,64.13,2336.0,1.0,11315196.239967823,
124,1783735813.7804084,offset_s=1240.3,64.12,2354.0,1.0,11406261.359966913,
125,1783735823.781749,offset_s=1250.3,64.12,2373.0,1.0,11497908.239965998,
126,1783735833.7833135,offset_s=1260.3,64.14,2391.0,1.0,11589457.919965083,
127,1783735843.7862215,offset_s=1270.3,64.12,2410.0,1.0,11681194.159964165,
128,1783735853.794027,offset_s=1280.3,64.12,2429.0,1.0,11772815.679963252,
129,1783735863.7969077,offset_s=1290.3,64.11,2447.0,1.0,11864248.959962338,
130,1783735873.7992668,offset_s=1300.3,64.1,2466.0,1.0,11955675.599961424,
131,1783735883.8013031,offset_s=1310.4,64.08,2485.0,1.0,12046242.15996052,
132,1783735893.802911,offset_s=1320.4,64.05,2503.0,1.0,12136331.519959621,
133,1783735903.80445,offset_s=1330.4,63.99,2522.0,1.0,12227558.079958709,
134,1783735913.807081,offset_s=1340.4,64.02,2540.0,1.0,12319508.39995779,
135,1783735923.808369,offset_s=1350.4,63.76,2559.0,1.0,12411381.439956874,
136,1783735933.8097699,offset_s=1360.4,63.83,2578.0,1.0,12503053.199955957,
137,1783735943.8122504,offset_s=1370.4,63.63,2595.0,1.0,12594163.839955047,
138,1783735953.8135233,offset_s=1380.4,63.72,2613.0,1.0,12684000.95995415,
139,1783735963.8171856,offset_s=1390.4,63.84,2632.0,1.0,12775059.199953241,
140,1783735973.8208106,offset_s=1400.4,63.9,2650.0,1.0,12866259.439952329,
141,1783735983.8229775,offset_s=1410.4,64.08,2669.0,1.0,12957918.399951413,
142,1783735993.825556,offset_s=1420.4,64.08,2687.0,1.0,13049675.519950498,
143,1783736003.827466,offset_s=1430.4,64.08,2706.0,1.0,13141141.039949583,
144,1783736013.8287969,offset_s=1440.4,63.99,2725.0,1.0,13232645.439948669,
145,1783736023.831785,offset_s=1450.4,63.92,2743.0,1.0,13323697.279947758,
146,1783736033.833024,offset_s=1460.4,63.73,2762.0,1.0,13414574.879946852,
147,1783736043.835472,offset_s=1470.4,63.74,2781.0,1.0,13505147.839945946,
148,1783736053.8431172,offset_s=1480.4,63.76,2799.0,1.0,13596031.35994504,
149,1783736063.8445227,offset_s=1490.4,63.74,2818.0,1.0,13687032.47994413,
150,1783736073.8466947,offset_s=1500.4,63.68,2836.0,1.0,13778530.239943216,
151,1783736083.8479702,offset_s=1510.4,63.67,2855.0,1.0,13869769.359942306,
152,1783736093.8501186,offset_s=1520.4,63.64,2874.0,1.0,13960937.839941394,
153,1783736103.8552341,offset_s=1530.4,63.6,2892.0,1.0,14052455.039940478,
154,1783736113.856442,offset_s=1540.4,63.65,2909.0,1.0,14143157.439939573,
